dayofweek,bookinghour,item_status,Location,TotalBookings
Wednesday,19,NO_TAKER,3.04380338304041101.618497084745,1
Wednesday,19,NO_TAKER,3.0678614101.5969471,1
Wednesday,12,NO_TAKER,3.1435641101.7423693,1
Wednesday,10,CANCELLED_BY_PASSENGER,3.0680163101.6457779,1
Wednesday,5,NO_TAKER,2.9184729101.6417541,1
Wednesday,9,NO_TAKER,3.02837941206773101.70736973071,1
Wednesday,16,CANCELLED_BY_PASSENGER,3.1516545101.7592735,1
Wednesday,18,NO_TAKER,3.0589359101.6152954,1
Wednesday,13,NO_TAKER,2.9196657101.6363814,2
Wednesday,17,NO_TAKER,3.0658705101.6054524,1
Wednesday,11,NO_TAKER,3.1382107101.7583769,1
Wednesday,17,CANCELLED_BY_PASSENGER,2.9257158101.6439649,2
Wednesday,8,NO_TAKER,3.1957378101.5934197,1
Wednesday,14,CANCELLED_BY_PASSENGER,2.9196657101.6363814,1
Wednesday,8,NO_TAKER,3.1362163101.7465399,1
Wednesday,12,CANCELLED_BY_PASSENGER,2.7894437101.6781964,1
Wednesday,21,CANCELLED_BY_PASSENGER,3.0715583101.756017,1
Wednesday,16,NO_TAKER,3.0280205101.621598,2
Wednesday,16,NO_TAKER,3.0783198101.5471912,1
Wednesday,21,NO_TAKER,3.0635611222777066101.61597803235054,1
Wednesday,13,NO_TAKER,3.0624953101.645745,1
Wednesday,12,NO_TAKER,2.9268806101.5109205,1
Wednesday,8,CANCELLED_BY_PASSENGER,2.9255701101.6367957,20
Wednesday,16,CANCELLED_BY_PASSENGER,3.1457436101.7506346,1
Wednesday,15,CANCELLED_BY_PASSENGER,3.1286386101.7544404,1
Wednesday,9,CANCELLED_BY_PASSENGER,3.20789588746942101.628437489037,1
Wednesday,16,CANCELLED_BY_PASSENGER,3.1513483101.5930094,1
Wednesday,11,CANCELLED_BY_PASSENGER,3.0672267101.603841,1
Wednesday,13,NO_TAKER,2.9438279101.5915875,1
Wednesday,20,CANCELLED_BY_PASSENGER,3.00036457810796101.596833629533,1
Wednesday,16,NO_TAKER,3.0391165101.6282656,1
Wednesday,7,CANCELLED_BY_PASSENGER,2.9013577101.6432926,1
Wednesday,6,NO_TAKER,2.9036674101.7635381,1
Wednesday,13,CANCELLED_BY_PASSENGER,2.92821101.6300063,1
Wednesday,9,CANCELLED_BY_PASSENGER,3.1320197101.7401993,1
Wednesday,15,CANCELLED_BY_PASSENGER,3.2085382101.7610589,1
Wednesday,18,CANCELLED_BY_PASSENGER,3.048534000000001101.6305957,1
Wednesday,20,NO_TAKER,2.9647047101.7213574,1
Wednesday,20,NO_TAKER,3.1333608451985779101.55375788193216,10
Wednesday,8,NO_TAKER,3.1026998101.6014908,1
Wednesday,7,CANCELLED_BY_PASSENGER,3.1448542101.7510124,1
Wednesday,21,NO_TAKER,3.1333608451985779101.55375788193216,15
Wednesday,17,CANCELLED_BY_PASSENGER,3.129814101.567595,1
Wednesday,17,NO_TAKER,3.1608339101.5721816,1
Wednesday,16,CANCELLED_BY_PASSENGER,3.1011873101.5996829,1
Wednesday,22,NO_TAKER,3.08969101.5592108,1
Wednesday,14,CANCELLED_BY_PASSENGER,3.1235787101.7411407,1
Wednesday,12,NO_TAKER,3.1134778101.6040985,1
Wednesday,19,CANCELLED_BY_PASSENGER,2.94971935475917101.657126910728,12
Wednesday,17,CANCELLED_BY_PASSENGER,2.9914018101.4508949,1
Wednesday,15,CANCELLED_BY_PASSENGER,3.2423061101.6462759,1
Wednesday,8,CANCELLED_BY_PASSENGER,3.1565325101.5713357,1
Wednesday,17,NO_DRIVER_AVAILABLE,3.11081598639141101.612812555291,1
Wednesday,16,NO_TAKER,3.0987279101.5899737,1
Wednesday,10,NO_TAKER,3.0983931101.6125808,1
Wednesday,15,NO_TAKER,3.154053101.5931344,1
Wednesday,22,NO_TAKER,3.000477101.709009,1
Wednesday,16,NO_TAKER,3.1129492101.5977659,1
